rep	N	n	sigma	mu	R	cov	L	ID
1	1000	5	0	1e-08	1e-08	20	1e+06	1
2	1000	5	0	1e-08	1e-08	20	1e+06	2
3	1000	5	0	1e-08	1e-08	20	1e+06	3
4	1000	5	0	1e-08	1e-08	20	1e+06	4
5	1000	5	0	1e-08	1e-08	20	1e+06	5
6	1000	5	0	1e-08	1e-08	20	1e+06	6
7	1000	5	0	1e-08	1e-08	20	1e+06	7
8	1000	5	0	1e-08	1e-08	20	1e+06	8
9	1000	5	0	1e-08	1e-08	20	1e+06	9
10	1000	5	0	1e-08	1e-08	20	1e+06	10
1	1000	10	0	1e-08	1e-08	20	1e+06	11
2	1000	10	0	1e-08	1e-08	20	1e+06	12
3	1000	10	0	1e-08	1e-08	20	1e+06	13
4	1000	10	0	1e-08	1e-08	20	1e+06	14
5	1000	10	0	1e-08	1e-08	20	1e+06	15
6	1000	10	0	1e-08	1e-08	20	1e+06	16
7	1000	10	0	1e-08	1e-08	20	1e+06	17
8	1000	10	0	1e-08	1e-08	20	1e+06	18
9	1000	10	0	1e-08	1e-08	20	1e+06	19
10	1000	10	0	1e-08	1e-08	20	1e+06	20
1	1000	25	0	1e-08	1e-08	20	1e+06	21
2	1000	25	0	1e-08	1e-08	20	1e+06	22
3	1000	25	0	1e-08	1e-08	20	1e+06	23
4	1000	25	0	1e-08	1e-08	20	1e+06	24
5	1000	25	0	1e-08	1e-08	20	1e+06	25
6	1000	25	0	1e-08	1e-08	20	1e+06	26
7	1000	25	0	1e-08	1e-08	20	1e+06	27
8	1000	25	0	1e-08	1e-08	20	1e+06	28
9	1000	25	0	1e-08	1e-08	20	1e+06	29
10	1000	25	0	1e-08	1e-08	20	1e+06	30
1	1000	50	0	1e-08	1e-08	20	1e+06	31
2	1000	50	0	1e-08	1e-08	20	1e+06	32
3	1000	50	0	1e-08	1e-08	20	1e+06	33
4	1000	50	0	1e-08	1e-08	20	1e+06	34
5	1000	50	0	1e-08	1e-08	20	1e+06	35
6	1000	50	0	1e-08	1e-08	20	1e+06	36
7	1000	50	0	1e-08	1e-08	20	1e+06	37
8	1000	50	0	1e-08	1e-08	20	1e+06	38
9	1000	50	0	1e-08	1e-08	20	1e+06	39
10	1000	50	0	1e-08	1e-08	20	1e+06	40
1	1000	100	0	1e-08	1e-08	20	1e+06	41
2	1000	100	0	1e-08	1e-08	20	1e+06	42
3	1000	100	0	1e-08	1e-08	20	1e+06	43
4	1000	100	0	1e-08	1e-08	20	1e+06	44
5	1000	100	0	1e-08	1e-08	20	1e+06	45
6	1000	100	0	1e-08	1e-08	20	1e+06	46
7	1000	100	0	1e-08	1e-08	20	1e+06	47
8	1000	100	0	1e-08	1e-08	20	1e+06	48
9	1000	100	0	1e-08	1e-08	20	1e+06	49
10	1000	100	0	1e-08	1e-08	20	1e+06	50
1	1000	5	0	1e-08	1e-08	50	1e+06	51
2	1000	5	0	1e-08	1e-08	50	1e+06	52
3	1000	5	0	1e-08	1e-08	50	1e+06	53
4	1000	5	0	1e-08	1e-08	50	1e+06	54
5	1000	5	0	1e-08	1e-08	50	1e+06	55
6	1000	5	0	1e-08	1e-08	50	1e+06	56
7	1000	5	0	1e-08	1e-08	50	1e+06	57
8	1000	5	0	1e-08	1e-08	50	1e+06	58
9	1000	5	0	1e-08	1e-08	50	1e+06	59
10	1000	5	0	1e-08	1e-08	50	1e+06	60
1	1000	10	0	1e-08	1e-08	50	1e+06	61
2	1000	10	0	1e-08	1e-08	50	1e+06	62
3	1000	10	0	1e-08	1e-08	50	1e+06	63
4	1000	10	0	1e-08	1e-08	50	1e+06	64
5	1000	10	0	1e-08	1e-08	50	1e+06	65
6	1000	10	0	1e-08	1e-08	50	1e+06	66
7	1000	10	0	1e-08	1e-08	50	1e+06	67
8	1000	10	0	1e-08	1e-08	50	1e+06	68
9	1000	10	0	1e-08	1e-08	50	1e+06	69
10	1000	10	0	1e-08	1e-08	50	1e+06	70
1	1000	25	0	1e-08	1e-08	50	1e+06	71
2	1000	25	0	1e-08	1e-08	50	1e+06	72
3	1000	25	0	1e-08	1e-08	50	1e+06	73
4	1000	25	0	1e-08	1e-08	50	1e+06	74
5	1000	25	0	1e-08	1e-08	50	1e+06	75
6	1000	25	0	1e-08	1e-08	50	1e+06	76
7	1000	25	0	1e-08	1e-08	50	1e+06	77
8	1000	25	0	1e-08	1e-08	50	1e+06	78
9	1000	25	0	1e-08	1e-08	50	1e+06	79
10	1000	25	0	1e-08	1e-08	50	1e+06	80
1	1000	50	0	1e-08	1e-08	50	1e+06	81
2	1000	50	0	1e-08	1e-08	50	1e+06	82
3	1000	50	0	1e-08	1e-08	50	1e+06	83
4	1000	50	0	1e-08	1e-08	50	1e+06	84
5	1000	50	0	1e-08	1e-08	50	1e+06	85
6	1000	50	0	1e-08	1e-08	50	1e+06	86
7	1000	50	0	1e-08	1e-08	50	1e+06	87
8	1000	50	0	1e-08	1e-08	50	1e+06	88
9	1000	50	0	1e-08	1e-08	50	1e+06	89
10	1000	50	0	1e-08	1e-08	50	1e+06	90
1	1000	100	0	1e-08	1e-08	50	1e+06	91
2	1000	100	0	1e-08	1e-08	50	1e+06	92
3	1000	100	0	1e-08	1e-08	50	1e+06	93
4	1000	100	0	1e-08	1e-08	50	1e+06	94
5	1000	100	0	1e-08	1e-08	50	1e+06	95
6	1000	100	0	1e-08	1e-08	50	1e+06	96
7	1000	100	0	1e-08	1e-08	50	1e+06	97
8	1000	100	0	1e-08	1e-08	50	1e+06	98
9	1000	100	0	1e-08	1e-08	50	1e+06	99
10	1000	100	0	1e-08	1e-08	50	1e+06	100
1	1000	5	0	1e-08	1e-08	80	1e+06	101
2	1000	5	0	1e-08	1e-08	80	1e+06	102
3	1000	5	0	1e-08	1e-08	80	1e+06	103
4	1000	5	0	1e-08	1e-08	80	1e+06	104
5	1000	5	0	1e-08	1e-08	80	1e+06	105
6	1000	5	0	1e-08	1e-08	80	1e+06	106
7	1000	5	0	1e-08	1e-08	80	1e+06	107
8	1000	5	0	1e-08	1e-08	80	1e+06	108
9	1000	5	0	1e-08	1e-08	80	1e+06	109
10	1000	5	0	1e-08	1e-08	80	1e+06	110
1	1000	10	0	1e-08	1e-08	80	1e+06	111
2	1000	10	0	1e-08	1e-08	80	1e+06	112
3	1000	10	0	1e-08	1e-08	80	1e+06	113
4	1000	10	0	1e-08	1e-08	80	1e+06	114
5	1000	10	0	1e-08	1e-08	80	1e+06	115
6	1000	10	0	1e-08	1e-08	80	1e+06	116
7	1000	10	0	1e-08	1e-08	80	1e+06	117
8	1000	10	0	1e-08	1e-08	80	1e+06	118
9	1000	10	0	1e-08	1e-08	80	1e+06	119
10	1000	10	0	1e-08	1e-08	80	1e+06	120
1	1000	25	0	1e-08	1e-08	80	1e+06	121
2	1000	25	0	1e-08	1e-08	80	1e+06	122
3	1000	25	0	1e-08	1e-08	80	1e+06	123
4	1000	25	0	1e-08	1e-08	80	1e+06	124
5	1000	25	0	1e-08	1e-08	80	1e+06	125
6	1000	25	0	1e-08	1e-08	80	1e+06	126
7	1000	25	0	1e-08	1e-08	80	1e+06	127
8	1000	25	0	1e-08	1e-08	80	1e+06	128
9	1000	25	0	1e-08	1e-08	80	1e+06	129
10	1000	25	0	1e-08	1e-08	80	1e+06	130
1	1000	50	0	1e-08	1e-08	80	1e+06	131
2	1000	50	0	1e-08	1e-08	80	1e+06	132
3	1000	50	0	1e-08	1e-08	80	1e+06	133
4	1000	50	0	1e-08	1e-08	80	1e+06	134
5	1000	50	0	1e-08	1e-08	80	1e+06	135
6	1000	50	0	1e-08	1e-08	80	1e+06	136
7	1000	50	0	1e-08	1e-08	80	1e+06	137
8	1000	50	0	1e-08	1e-08	80	1e+06	138
9	1000	50	0	1e-08	1e-08	80	1e+06	139
10	1000	50	0	1e-08	1e-08	80	1e+06	140
1	1000	100	0	1e-08	1e-08	80	1e+06	141
2	1000	100	0	1e-08	1e-08	80	1e+06	142
3	1000	100	0	1e-08	1e-08	80	1e+06	143
4	1000	100	0	1e-08	1e-08	80	1e+06	144
5	1000	100	0	1e-08	1e-08	80	1e+06	145
6	1000	100	0	1e-08	1e-08	80	1e+06	146
7	1000	100	0	1e-08	1e-08	80	1e+06	147
8	1000	100	0	1e-08	1e-08	80	1e+06	148
9	1000	100	0	1e-08	1e-08	80	1e+06	149
10	1000	100	0	1e-08	1e-08	80	1e+06	150
1	1000	5	0	1e-08	1e-08	100	1e+06	151
2	1000	5	0	1e-08	1e-08	100	1e+06	152
3	1000	5	0	1e-08	1e-08	100	1e+06	153
4	1000	5	0	1e-08	1e-08	100	1e+06	154
5	1000	5	0	1e-08	1e-08	100	1e+06	155
6	1000	5	0	1e-08	1e-08	100	1e+06	156
7	1000	5	0	1e-08	1e-08	100	1e+06	157
8	1000	5	0	1e-08	1e-08	100	1e+06	158
9	1000	5	0	1e-08	1e-08	100	1e+06	159
10	1000	5	0	1e-08	1e-08	100	1e+06	160
1	1000	10	0	1e-08	1e-08	100	1e+06	161
2	1000	10	0	1e-08	1e-08	100	1e+06	162
3	1000	10	0	1e-08	1e-08	100	1e+06	163
4	1000	10	0	1e-08	1e-08	100	1e+06	164
5	1000	10	0	1e-08	1e-08	100	1e+06	165
6	1000	10	0	1e-08	1e-08	100	1e+06	166
7	1000	10	0	1e-08	1e-08	100	1e+06	167
8	1000	10	0	1e-08	1e-08	100	1e+06	168
9	1000	10	0	1e-08	1e-08	100	1e+06	169
10	1000	10	0	1e-08	1e-08	100	1e+06	170
1	1000	25	0	1e-08	1e-08	100	1e+06	171
2	1000	25	0	1e-08	1e-08	100	1e+06	172
3	1000	25	0	1e-08	1e-08	100	1e+06	173
4	1000	25	0	1e-08	1e-08	100	1e+06	174
5	1000	25	0	1e-08	1e-08	100	1e+06	175
6	1000	25	0	1e-08	1e-08	100	1e+06	176
7	1000	25	0	1e-08	1e-08	100	1e+06	177
8	1000	25	0	1e-08	1e-08	100	1e+06	178
9	1000	25	0	1e-08	1e-08	100	1e+06	179
10	1000	25	0	1e-08	1e-08	100	1e+06	180
1	1000	50	0	1e-08	1e-08	100	1e+06	181
2	1000	50	0	1e-08	1e-08	100	1e+06	182
3	1000	50	0	1e-08	1e-08	100	1e+06	183
4	1000	50	0	1e-08	1e-08	100	1e+06	184
5	1000	50	0	1e-08	1e-08	100	1e+06	185
6	1000	50	0	1e-08	1e-08	100	1e+06	186
7	1000	50	0	1e-08	1e-08	100	1e+06	187
8	1000	50	0	1e-08	1e-08	100	1e+06	188
9	1000	50	0	1e-08	1e-08	100	1e+06	189
10	1000	50	0	1e-08	1e-08	100	1e+06	190
1	1000	100	0	1e-08	1e-08	100	1e+06	191
2	1000	100	0	1e-08	1e-08	100	1e+06	192
3	1000	100	0	1e-08	1e-08	100	1e+06	193
4	1000	100	0	1e-08	1e-08	100	1e+06	194
5	1000	100	0	1e-08	1e-08	100	1e+06	195
6	1000	100	0	1e-08	1e-08	100	1e+06	196
7	1000	100	0	1e-08	1e-08	100	1e+06	197
8	1000	100	0	1e-08	1e-08	100	1e+06	198
9	1000	100	0	1e-08	1e-08	100	1e+06	199
10	1000	100	0	1e-08	1e-08	100	1e+06	200
1	1000	5	0	1e-08	1e-08	200	1e+06	201
2	1000	5	0	1e-08	1e-08	200	1e+06	202
3	1000	5	0	1e-08	1e-08	200	1e+06	203
4	1000	5	0	1e-08	1e-08	200	1e+06	204
5	1000	5	0	1e-08	1e-08	200	1e+06	205
6	1000	5	0	1e-08	1e-08	200	1e+06	206
7	1000	5	0	1e-08	1e-08	200	1e+06	207
8	1000	5	0	1e-08	1e-08	200	1e+06	208
9	1000	5	0	1e-08	1e-08	200	1e+06	209
10	1000	5	0	1e-08	1e-08	200	1e+06	210
1	1000	10	0	1e-08	1e-08	200	1e+06	211
2	1000	10	0	1e-08	1e-08	200	1e+06	212
3	1000	10	0	1e-08	1e-08	200	1e+06	213
4	1000	10	0	1e-08	1e-08	200	1e+06	214
5	1000	10	0	1e-08	1e-08	200	1e+06	215
6	1000	10	0	1e-08	1e-08	200	1e+06	216
7	1000	10	0	1e-08	1e-08	200	1e+06	217
8	1000	10	0	1e-08	1e-08	200	1e+06	218
9	1000	10	0	1e-08	1e-08	200	1e+06	219
10	1000	10	0	1e-08	1e-08	200	1e+06	220
1	1000	25	0	1e-08	1e-08	200	1e+06	221
2	1000	25	0	1e-08	1e-08	200	1e+06	222
3	1000	25	0	1e-08	1e-08	200	1e+06	223
4	1000	25	0	1e-08	1e-08	200	1e+06	224
5	1000	25	0	1e-08	1e-08	200	1e+06	225
6	1000	25	0	1e-08	1e-08	200	1e+06	226
7	1000	25	0	1e-08	1e-08	200	1e+06	227
8	1000	25	0	1e-08	1e-08	200	1e+06	228
9	1000	25	0	1e-08	1e-08	200	1e+06	229
10	1000	25	0	1e-08	1e-08	200	1e+06	230
1	1000	50	0	1e-08	1e-08	200	1e+06	231
2	1000	50	0	1e-08	1e-08	200	1e+06	232
3	1000	50	0	1e-08	1e-08	200	1e+06	233
4	1000	50	0	1e-08	1e-08	200	1e+06	234
5	1000	50	0	1e-08	1e-08	200	1e+06	235
6	1000	50	0	1e-08	1e-08	200	1e+06	236
7	1000	50	0	1e-08	1e-08	200	1e+06	237
8	1000	50	0	1e-08	1e-08	200	1e+06	238
9	1000	50	0	1e-08	1e-08	200	1e+06	239
10	1000	50	0	1e-08	1e-08	200	1e+06	240
1	1000	100	0	1e-08	1e-08	200	1e+06	241
2	1000	100	0	1e-08	1e-08	200	1e+06	242
3	1000	100	0	1e-08	1e-08	200	1e+06	243
4	1000	100	0	1e-08	1e-08	200	1e+06	244
5	1000	100	0	1e-08	1e-08	200	1e+06	245
6	1000	100	0	1e-08	1e-08	200	1e+06	246
7	1000	100	0	1e-08	1e-08	200	1e+06	247
8	1000	100	0	1e-08	1e-08	200	1e+06	248
9	1000	100	0	1e-08	1e-08	200	1e+06	249
10	1000	100	0	1e-08	1e-08	200	1e+06	250
